wl,n,,wl,k
2.08,1.737,,2.08,0.019
2.09,1.737,,2.09,0.019
2.1,1.737,,2.1,0.018
2.11,1.736,,2.11,0.018
2.12,1.736,,2.12,0.018
2.13,1.736,,2.13,0.019
2.14,1.735,,2.14,0.019
2.15,1.735,,2.15,0.019
2.16,1.735,,2.16,0.019
2.17,1.735,,2.17,0.02
2.18,1.735,,2.18,0.019
2.19,1.735,,2.19,0.019
2.2,1.734,,2.2,0.019
2.21,1.734,,2.21,0.02
2.22,1.734,,2.22,0.02
2.23,1.734,,2.23,0.021
2.24,1.734,,2.24,0.02
2.25,1.734,,2.25,0.02
2.26,1.734,,2.26,0.021
2.27,1.734,,2.27,0.02
2.28,1.734,,2.28,0.02
2.29,1.734,,2.29,0.02
2.3,1.734,,2.3,0.02
2.31,1.733,,2.31,0.02
2.32,1.733,,2.32,0.02
2.33,1.733,,2.33,0.02
2.34,1.733,,2.34,0.02
2.35,1.733,,2.35,0.02
2.36,1.733,,2.36,0.02
2.37,1.732,,2.37,0.02
2.38,1.732,,2.38,0.021
2.39,1.732,,2.39,0.02
2.4,1.732,,2.4,0.021
2.41,1.732,,2.41,0.02
2.42,1.732,,2.42,0.02
2.43,1.732,,2.43,0.02
2.44,1.732,,2.44,0.019
2.45,1.732,,2.45,0.02
2.46,1.732,,2.46,0.019
2.47,1.731,,2.47,0.019
2.48,1.731,,2.48,0.019
2.49,1.73,,2.49,0.018
2.5,1.729,,2.5,0.018
2.5063,1.729,,2.5063,0.019
2.5126,1.729,,2.5126,0.019
2.5189,1.729,,2.5189,0.019
2.5253,1.728,,2.5253,0.019
2.5316,1.728,,2.5316,0.018
2.5381,1.728,,2.5381,0.019
2.5445,1.728,,2.5445,0.019
2.551,1.728,,2.551,0.019
2.5575,1.727,,2.5575,0.019
2.5641,1.727,,2.5641,0.019
2.5707,1.727,,2.5707,0.019
2.5773,1.727,,2.5773,0.019
2.584,1.727,,2.584,0.02
2.5907,1.726,,2.5907,0.019
2.5974,1.726,,2.5974,0.019
2.6042,1.726,,2.6042,0.019
2.611,1.726,,2.611,0.02
2.6178,1.726,,2.6178,0.02
2.6247,1.726,,2.6247,0.02
2.6316,1.725,,2.6316,0.02
2.6385,1.725,,2.6385,0.02
2.6455,1.725,,2.6455,0.02
2.6525,1.725,,2.6525,0.02
2.6596,1.725,,2.6596,0.02
2.6667,1.724,,2.6667,0.02
2.6738,1.724,,2.6738,0.02
2.681,1.725,,2.681,0.02
2.6882,1.725,,2.6882,0.02
2.6954,1.724,,2.6954,0.02
2.7027,1.724,,2.7027,0.019
2.71,1.723,,2.71,0.019
2.7174,1.723,,2.7174,0.019
2.7248,1.722,,2.7248,0.02
2.7322,1.722,,2.7322,0.021
2.7397,1.722,,2.7397,0.021
2.7473,1.723,,2.7473,0.021
2.7548,1.723,,2.7548,0.021
2.7624,1.723,,2.7624,0.021
2.7701,1.723,,2.7701,0.021
2.7778,1.722,,2.7778,0.021
2.7855,1.722,,2.7855,0.021
2.7933,1.722,,2.7933,0.02
2.8011,1.722,,2.8011,0.02
2.809,1.722,,2.809,0.021
2.8169,1.722,,2.8169,0.021
2.8249,1.721,,2.8249,0.021
2.8329,1.721,,2.8329,0.021
2.8409,1.721,,2.8409,0.02
