wl,n
1.0600,0.000
1.0800,0.000
1.1000,0.000
1.1200,0.000
1.1400,0.000
1.1600,0.000
1.1800,0.000
1.2000,0.000
1.2200,0.000
1.2400,0.000
1.2600,0.000
1.2800,0.000
1.3000,0.000
1.3200,0.000
1.3400,0.000
1.3600,0.000
1.3800,0.000
1.4000,0.000
1.4200,0.000
1.4400,0.000
1.4600,0.000
1.4800,0.000
1.5000,0.000
1.5200,0.000
1.5400,0.000
1.5600,0.000
1.5800,0.000
1.6000,0.000
1.6200,0.000
1.6400,0.000
1.6600,0.000
1.6800,0.000
1.7000,0.000
1.7200,0.000
1.7400,0.000
1.7600,0.000
1.7800,0.000
1.8000,0.000
1.8200,0.000
1.8400,0.000
1.8600,0.000
1.8800,0.000
1.9000,0.000
1.9200,0.000
1.9400,0.000
1.9600,0.000
1.9800,0.000
2.0000,0.000
2.0200,0.000
2.0400,0.000
2.0600,0.000
2.0800,0.000
2.1000,0.000
2.1200,0.000
2.1400,0.000
2.1600,0.000
2.1800,0.000
2.2000,0.000
2.2200,0.000
2.2400,0.000
2.2600,0.000
2.2800,0.000
2.3000,0.000
2.3200,0.000
2.3400,0.000
2.3600,0.000
2.3800,0.000
2.4000,0.000
2.4200,0.000
2.4400,0.000
2.4600,0.000
2.4800,0.000
2.5000,0.000
2.5126,0.000
2.5253,0.000
2.5381,0.000
2.5510,0.000
2.5641,0.000
2.5773,0.000
2.5907,0.000
2.6042,0.000
2.6178,0.000
2.6316,0.000
2.6455,0.000
2.6596,0.000
2.6738,0.000
2.6882,0.000
2.7027,0.000
2.7174,0.000
2.7322,0.000
2.7473,0.000
2.7624,0.000
2.7778,0.000
2.7933,0.000
2.8090,0.000
2.8249,0.000
2.8409,0.000
2.8571,0.000
2.8736,0.000
2.8902,0.000
2.9070,0.000
2.9240,0.000
2.9412,0.000
2.9586,0.000
2.9762,0.000
2.9940,0.000
3.0120,0.000
3.0303,0.000
3.0488,0.000
3.0675,0.000
3.0864,0.000
3.1056,0.000
3.1250,0.000
3.1447,0.000
3.1646,0.000
3.1847,0.000
3.2051,0.000
3.2258,0.000
3.2468,0.000
3.2680,0.000
3.2895,0.000
3.3113,0.000
3.3333,0.000
3.3557,0.000
3.3784,0.000
3.4014,0.000
3.4247,0.000
3.4483,0.000
3.4722,0.000
3.4965,0.000
3.5211,0.000
3.5461,0.000
3.5714,0.000
3.5971,0.000
3.6232,0.000
3.6496,0.000
3.6765,0.000
3.7037,0.000
3.7313,0.000
3.7594,0.000
3.7879,0.000
3.8168,0.000
3.8462,0.000
3.8760,0.000
3.9063,0.000
3.9370,0.000
3.9683,0.000
4.0000,0.000
4.0323,0.000
4.0650,0.000
4.0984,0.000
4.1322,0.000
4.1667,0.000
4.2017,0.000
4.2373,0.000
4.2735,0.000
4.3103,0.000
4.3478,0.000
4.3860,0.000
4.4248,0.000
4.4643,0.000
4.5045,0.000
4.5455,0.000
4.5872,0.000
4.6296,0.000
4.6729,0.000
4.7170,0.000
4.7619,0.000
4.8077,0.000
4.8544,0.000
4.9020,0.000
4.9505,0.000
5.0000,0.000
5.0505,0.000
5.1020,0.000
5.1546,0.000
5.2083,0.000
5.2632,0.000
5.3191,0.000
5.3763,0.000
5.4348,0.000
5.4945,0.000
5.5556,0.000
5.6180,0.000
5.6818,0.000
5.7471,0.000
5.8140,0.000
5.8824,0.000
5.9524,0.000
6.0241,0.000
6.0976,0.000
6.1728,0.000
6.2500,0.000
6.3291,0.000
6.4103,0.000
6.4935,0.000
6.5789,0.000
6.6667,0.000
6.7568,0.000
6.8493,0.000
6.9444,0.000
7.0423,0.000
7.1429,0.000
7.2464,0.000
7.3529,0.000
7.4627,0.000
7.5758,0.000
7.6923,0.000
7.8125,0.000
7.9365,0.000
8.0645,0.000
8.1967,0.000
8.3333,0.000
8.4746,0.000
8.6207,0.000
8.7719,0.000
8.9286,0.000
9.0909,0.000
9.2593,0.000
9.4340,0.000
9.6154,0.000
9.8039,0.000
10.0000,0.000
10.2041,0.000
10.4167,0.000
10.6383,0.000
10.8696,0.000
11.1111,0.000
11.3636,0.000
11.6279,0.000
11.9048,0.000
12.1951,0.000
12.5000,0.000
12.8205,0.000
13.1579,0.000
13.5135,0.000
13.8889,0.000
14.2857,0.000
14.7059,0.000
15.1515,0.000
15.6250,0.001
16.1290,0.005
16.6667,0.007
17.2414,0.009
17.8571,0.017
18.5185,0.021
19.2308,0.020
20.0000,0.026
20.8333,0.028
21.7391,0.045
22.7273,0.058
23.8095,0.099
25.0000,0.102
26.3158,0.130
27.7778,0.183
29.4118,0.374
31.2500,0.658
33.3333,0.979
35.7143,1.337
38.4615,1.753
41.6667,2.329
45.4545,3.297
50.0000,5.834
55.5556,2.546
62.5000,0.000
71.4286,0.000
83.3333,0.000
100.0000,0.000
125.0000,0.000
166.6667,0.000
