wl,n
1.0600,0.015
1.0800,0.014
1.1000,0.014
1.1200,0.013
1.1400,0.012
1.1600,0.010
1.1800,0.010
1.2000,0.009
1.2200,0.008
1.2400,0.007
1.2600,0.007
1.2800,0.006
1.3000,0.005
1.3200,0.005
1.3400,0.005
1.3600,0.004
1.3800,0.004
1.4000,0.004
1.4200,0.004
1.4400,0.004
1.4600,0.003
1.4800,0.002
1.5000,0.002
1.5200,0.002
1.5400,0.001
1.5600,0.001
1.5800,0.001
1.6000,0.000
1.6200,0.000
1.6400,0.000
1.6600,0.000
1.6800,0.000
1.7000,0.000
1.7200,0.000
1.7400,0.000
1.7600,0.000
1.7800,0.000
1.8000,0.000
1.8200,0.000
1.8400,0.000
1.8600,0.000
1.8800,0.000
1.9000,0.000
1.9200,0.000
1.9400,0.000
1.9600,0.000
1.9800,0.000
2.0000,0.000
2.0200,0.000
2.0400,0.000
2.0600,0.000
2.0800,0.000
2.1000,0.000
2.1200,0.000
2.1400,0.000
2.1600,0.000
2.1800,0.000
2.2000,0.000
2.2200,0.000
2.2400,0.000
2.2600,0.000
2.2800,0.000
2.3000,0.000
2.3200,0.000
2.3400,0.000
2.3600,0.000
2.3800,0.000
2.4000,0.000
2.4200,0.000
2.4400,0.000
2.4600,0.000
2.4800,0.000
2.5000,0.003
2.5126,0.002
2.5253,0.002
2.5381,0.002
2.5510,0.002
2.5641,0.002
2.5773,0.002
2.5907,0.002
2.6042,0.002
2.6178,0.002
2.6316,0.002
2.6455,0.001
2.6596,0.001
2.6738,0.001
2.6882,0.001
2.7027,0.001
2.7174,0.000
2.7322,0.000
2.7473,0.000
2.7624,0.000
2.7778,0.000
2.7933,0.000
2.8090,0.000
2.8249,0.000
2.8409,0.000
2.8571,0.000
2.8736,0.000
2.8902,0.000
2.9070,0.000
2.9240,0.000
2.9412,0.000
2.9586,0.000
2.9762,0.000
2.9940,0.000
3.0120,0.000
3.0303,0.000
3.0488,0.000
3.0675,0.001
3.0864,0.000
3.1056,0.000
3.1250,0.001
3.1447,0.001
3.1646,0.001
3.1847,0.001
3.2051,0.000
3.2258,0.001
3.2468,0.000
3.2680,0.001
3.2895,0.001
3.3113,0.001
3.3333,0.001
3.3557,0.001
3.3784,0.001
3.4014,0.001
3.4247,0.001
3.4483,0.001
3.4722,0.001
3.4965,0.001
3.5211,0.001
3.5461,0.001
3.5714,0.001
3.5971,0.001
3.6232,0.001
3.6496,0.001
3.6765,0.001
3.7037,0.001
3.7313,0.001
3.7594,0.001
3.7879,0.001
3.8168,0.001
3.8462,0.001
3.8760,0.001
3.9063,0.000
3.9370,0.000
3.9683,0.000
4.0000,0.000
4.0323,0.000
4.0650,0.000
4.0984,0.000
4.1322,0.000
4.1667,0.000
4.2017,0.000
4.2373,0.000
4.2735,0.000
4.3103,0.000
4.3478,0.000
4.3860,0.001
4.4248,0.001
4.4643,0.001
4.5045,0.001
4.5455,0.001
4.5872,0.001
4.6296,0.001
4.6729,0.001
4.7170,0.001
4.7619,0.001
4.8077,0.001
4.8544,0.000
4.9020,0.000
4.9505,0.000
5.0000,0.001
5.0505,0.001
5.1020,0.001
5.1546,0.000
5.2083,0.000
5.2632,0.000
5.3191,0.000
5.3763,0.000
5.4348,0.000
5.4945,0.000
5.5556,0.000
5.6180,0.000
5.6818,0.000
5.7471,0.000
5.8140,0.000
5.8824,0.000
5.9524,0.000
6.0241,0.000
6.0976,0.001
6.1728,0.001
6.2500,0.001
6.3291,0.001
6.4103,0.002
6.4935,0.002
6.5789,0.002
6.6667,0.002
6.7568,0.002
6.8493,0.002
6.9444,0.003
7.0423,0.003
7.1429,0.003
7.2464,0.003
7.3529,0.003
7.4627,0.003
7.5758,0.003
7.6923,0.003
7.8125,0.003
7.9365,0.003
8.0645,0.003
8.1967,0.004
8.3333,0.004
8.4746,0.004
8.6207,0.003
8.7719,0.003
8.9286,0.003
9.0909,0.003
9.2593,0.003
9.4340,0.003
9.6154,0.003
9.8039,0.002
10.0000,0.002
10.2041,0.002
10.4167,0.002
10.6383,0.002
10.8696,0.002
11.1111,0.002
11.3536,0.003
11.6279,0.003
11.9048,0.004
12.1951,0.004
12.5000,0.005
12.8205,0.006
13.1579,0.006
13.5135,0.007
13.8889,0.010
14.2857,0.012
14.7059,0.014
15.1515,0.016
15.6250,0.017
16.1290,0.018
16.6667,0.019
17.2414,0.019
17.8571,0.017
18.5185,0.016
19.2308,0.018
20.0000,0.026
20.8333,0.029
21.7391,0.027
22.7273,0.028
23.8095,0.037
25.0000,0.048
26.3158,0.066
27.7778,0.097
29.4118,0.944
31.2500,2.072
33.3333,3.451
35.7143,5.788
38.4615,1.269
41.6667,0.153
45.4545,0.171
50.0000,0.173
55.5556,0.151
62.5000,0.120
71.4286,0.098
83.3333,0.079
100.0000,0.063
125.0000,0.049
166.6667,0.036
