wl,n
5.46067E-02,0.535000
5.56356E-02,0.542000
5.66838E-02,0.558000
5.77518E-02,0.574000
5.88400E-02,0.591000
5.99486E-02,0.609000
6.10781E-02,0.617000
6.22289E-02,0.623000
6.34014E-02,0.633000
6.45959E-02,0.649001
6.58130E-02,0.665000
6.70530E-02,0.684001
6.83163E-02,0.697000
6.96035E-02,0.712000
7.09149E-02,0.728000
7.22511E-02,0.743000
7.36124E-02,0.770001
7.49993E-02,0.792000
7.64124E-02,0.802000
7.78521E-02,0.811000
7.93189E-02,0.819000
8.08134E-02,0.824000
8.23360E-02,0.853000
8.38874E-02,0.886998
8.54679E-02,0.910999
8.70782E-02,0.926001
8.87189E-02,0.956000
9.03905E-02,0.943001
9.20935E-02,1.040000
9.38287E-02,1.040000
9.55966E-02,1.000001
9.73977E-02,1.039997
9.92328E-02,1.040000
1.01102E-01,1.050000
1.03007E-01,1.069999
1.04948E-01,1.040002
1.06926E-01,1.010000
1.08940E-01,0.982642
1.10993E-01,0.964110
1.13084E-01,0.938300
1.15215E-01,0.911129
1.17385E-01,0.898454
1.19597E-01,0.880978
1.21850E-01,0.842602
1.24146E-01,0.853835
1.26485E-01,0.844727
1.28869E-01,0.836531
1.31297E-01,0.817832
1.33770E-01,0.801912
1.36291E-01,0.782211
1.38859E-01,0.765015
1.41475E-01,0.755215
1.44141E-01,0.750299
1.46856E-01,0.752538
1.49623E-01,0.753066
1.52442E-01,0.758887
1.55315E-01,0.762572
1.58241E-01,0.758419
1.61222E-01,0.763733
1.64260E-01,0.783252
1.67355E-01,0.790552
1.70508E-01,0.802448
1.73721E-01,0.827663
1.76994E-01,0.850703
1.80329E-01,0.877517
1.83726E-01,0.873986
1.87188E-01,0.913957
1.90715E-01,0.950735
1.94308E-01,0.954682
1.97969E-01,0.976125
2.01699E-01,0.987470
2.05499E-01,0.985850
2.09371E-01,0.974230
2.13316E-01,0.954646
2.17335E-01,0.925142
2.21430E-01,0.884836
2.25602E-01,0.828696
2.29853E-01,0.752588
2.34183E-01,0.672583
